trial_id,img_path,img_label,Coherence,RT,decision,correct
9,./data/positive/img.7.jpg,positive,0.512,0.5296611785888672,1,True
10,./data/negative/img.8.jpg,negative,0.128,0.07655620574951172,0,True
1,./data/positive/img.3.jpg,positive,0.128,0.3351874351501465,0,False
2,./data/negative/img.24.jpg,negative,0.768,0.6566379070281982,0,True
3,./data/negative/img.14.jpg,negative,0.512,0.9467067718505859,0,True
4,./data/negative/img.13.jpg,negative,0.768,0.42154812812805176,0,True
5,./data/positive/img.12.jpg,positive,0.768,0.610222339630127,0,False
6,./data/positive/img.23.jpg,positive,0.768,0.8772845268249512,1,True
7,./data/negative/img.23.jpg,negative,0.768,0.5149831771850586,0,True
8,./data/positive/img.20.jpg,positive,0.512,0.5431945323944092,0,False
9,./data/positive/img.27.jpg,positive,0.128,0.03306722640991211,1,True
10,./data/negative/img.8.jpg,negative,0.128,0.6219081878662109,0,True
